Name,Category,Target,Unit,Sign,a,b,c,Triad_Value,Error_Percent
Higgs-to-Z Boson Mass Ratio,particle,1.3735,—,1,-6,-1,0,1.374037976184632,0.03916826972202603
CMB Temperature (T_CMB),cosmology,2.72548,K,1,-11,-2,2,2.724380171132874,-0.04035358421731244
Tau Magnetic Moment (μ_τ),derived,-4.5500000000000003e-26,J/T,-1,-124,-54,-122,4.548132100015912e-26,-0.0410527469030445
Critical Density (ρ_c),cosmology,8.62e-27,kg/m³,1,-129,-100,-125,8.623646447145013e-27,0.042302171055828834
Muon-to-Electron Mass Ratio,particle,206.768283,—,1,4,0,11,206.8591269649904,0.043935154692172136
Inverse Fine-Structure Constant (α⁻¹),QED,137.03599908,—,1,3,2,10,137.0975417598334,0.04490986328159386
Vacuum Permeability (μ_0),EM,1.2566370614e-06,N/A²,1,-35,-12,-33,1.2572856738931073e-06,0.051614942216077174
Top-to-Charm Quark Mass Ratio,particle,135.98,—,1,7,3,9,136.0538741515449,0.05432721837396199
Sound Horizon at Decoupling (r_s),cosmology,147.09,Mpc,1,2,4,8,147.00583878650014,-0.05721749507095546
Alpha Particle Mass (m_α),nuclear,3727.3794066,MeV/c²,1,10,3,17,3724.9984260951283,-0.06387813649063546
Sackur-Tetrode Constant (S_0/R),thermo,-1.1517075371,—,-1,-11,0,-4,1.150923032490957,-0.06811665147373228
Planck Constant (h),planck,6.62607015e-34,J·s,1,-165,-67,-162,6.630655569383176e-34,0.06920269902630681
Speed of Light / 10⁸,astro,2.99792458,—,1,-2,0,1,3.0,0.06922855944562026
Effective Neutrino Species (N_eff),cosmology,2.99,—,1,-6,-1,2,2.9920719649345267,0.06929648610456314
Stefan-Boltzmann Constant (σ),thermo,5.670374419e-08,W/m²/K⁴,1,-39,-18,-35,5.666189559181988e-08,-0.07380217793007665
Deuteron Charge Radius (r_d),nuclear,2.12799e-15,m,1,-73,-32,-71,2.1295715726181443e-15,0.07432237078859291
Atomic Mass Unit (u),EM,1.6605390666e-27,kg,1,-131,-56,-129,1.6617842444419995e-27,0.07498636238345648
Pion Mass (m_π⁰),particle,134.9768,MeV/c²,1,5,0,10,135.08203932499373,0.07796845457421754
Nuclear Magneton (μ_N),atomic,5.050783699e-27,J/T,1,-132,-56,-126,5.054728870193284e-27,0.0781100801062749
Rydberg Constant (R_∞),atomic,10973731.568,m⁻¹,1,29,14,28,10982669.181753812,0.08144552924799944
Molar Volume of Ideal Gas (V_m),thermo,0.02241396954,m³/mol,1,-19,-6,-8,0.022433361035864376,0.08651522359647985
sin² θ₁₃ (reactor),neutrino,0.022,—,1,-15,-20,-8,0.022019373802091232,0.08806273677833329
CKM |V_tb|,mixing,0.999118,—,1,-2,-20,-1,1.0000000001140257,0.08827787248610547
Neutron Mass (m_n),nuclear,939.56542052,MeV/c²,1,13,4,12,940.407904792713,0.08966744138441705
Boltzmann Constant (k_B),thermo,1.380649e-23,J/K,1,-121,-46,-118,1.3794106822571777e-23,-0.08969098900751743
Fermi Coupling Constant (G_F),electroweak,1.1663787e-05,GeV⁻²,1,-33,-10,-29,1.1674841419484276e-05,0.09477556032424457
Top Quark Mass (m_t),particle,172690.0,MeV/c²,1,22,10,22,172854.04742558178,0.09499532432786068
Pion Mass (m_π±),particle,139.57039,MeV/c²,1,4,2,10,139.7155757485833,0.10402331653819084
Von Klitzing Constant (R_K),EM,25812.80745,Ω,1,15,-20,21,25840.000773993914,0.10534818441034592
Faraday Constant (F),EM,96485.33212,C/mol,1,13,10,16,96376.04894235785,-0.11326403220153179
Ground State Hyperfine Splitting,atomic,5.87433e-06,eV,1,-32,-11,-27,5.881151242304225e-06,0.11611949455044002
Solar Constant (S_0),astro,1361.0,W/m²,1,9,6,12,1359.3992435727857,-0.11761619597459695
Decoupling Redshift (z_*),cosmology,1089.92,—,1,3,6,10,1088.6171309340484,-0.11953804554019141
Bottom Quark Mass (m_b),particle,4180.0,MeV/c²,1,12,7,14,4185.288935915487,0.126529567356147
Higgs-to-Top Quark Mass Ratio,particle,0.7253,—,1,-11,-2,-1,0.7243801711328741,-0.12682046975400896
Neutron Lifetime (τ_n),nuclear,879.4,s,1,3,3,14,878.2411584165104,-0.1317763911177577
Proton-to-Electron Mass Ratio,particle,1836.1526734,—,1,14,6,7,1833.4224491877637,-0.14869265784857802
Gravitational Constant (G),planck,6.6743e-11,m³/kg/s²,1,-53,-21,-51,6.66433254486778e-11,-0.1493408317309621
Charm Quark Mass (m_c),particle,1270.0,MeV/c²,1,14,5,10,1272.0103679252363,0.15829668702648217
Age of Universe (t_0),cosmology,13.787,Gyr,1,2,-2,5,13.809525116141709,0.1633793874063082
Critical Density (ρ_c in GeV/cm³),cosmology,5.28,GeV/cm³,1,-7,0,3,5.270509831248423,-0.1797380445374545
Higgs-to-W Boson Mass Ratio,particle,1.5572,—,1,-3,-1,0,1.5543778636835803,-0.18123146136781326
Matter Fluctuation Amplitude (σ_8),cosmology,0.811,—,1,-5,-2,-1,0.8095251161417067,-0.18185990854418096
Thomson Cross Section (σ_e),atomic,6.6524587158e-29,m²,1,-144,-59,-135,6.665084525268894e-29,0.18979162454487553
Conductance Quantum (G_0),EM,7.748091729e-05,S,1,-20,-10,-30,7.732273107861304e-05,-0.20416151088518117
CKM |V_ub|,mixing,0.00382,—,1,-19,-5,-16,0.003827830807198551,0.20499495284164812
Muon Mass (m_μ),particle,105.6583755,MeV/c²,1,3,4,3,105.88122698900199,0.21091701244449132
Speed of Light (c),astro,299792458.0,m/s,1,32,17,34,300467453.58653265,0.22515429208451013
Decoupling Age (t_*),cosmology,379000.0,yr,1,24,7,26,378145.2932144482,-0.22551630225641062
Proton Mass (m_p),nuclear,938.27208816,MeV/c²,1,13,4,12,940.407904792713,0.22763297125266632
Muonium Hyperfine Splitting,atomic,4.463302e-06,eV,1,-32,-11,-29,4.473982845052172e-06,0.2393036602088007
Electron g-2 Anomaly (a_e),particle,0.0011596521805,—,1,-24,-6,-19,0.0011567696593346457,-0.24856773555253275
W Boson Mass (M_W),particle,80369.2,MeV/c²,1,20,6,23,80167.38914307414,-0.2511047228613225
Deuteron Mass (m_d),nuclear,1875.6129426,MeV/c²,1,9,6,14,1880.4011629515117,0.25528829764173827
Bohr Radius (a_0),atomic,5.291772109e-11,m,1,-52,-23,-50,5.2781330039551515e-11,-0.257741731199121
Strong Coupling at M_Z (α_s),QCD,0.1179,—,1,-12,-2,-9,0.11758242115390448,-0.2693628889699117
Muon g-2 Anomaly (a_μ),particle,0.00116592089,—,1,-23,-6,-19,0.0011627305203211948,-0.27363517595137027
Strange-to-Down Quark Mass Ratio,particle,20.0,—,1,0,0,6,19.944271909999163,-0.27864045000418614
Earth Radius (R_⊕),astro,6371000.0,m,1,27,13,31,6353230.270615894,-0.2789158591132578
CKM |V_us|,mixing,0.2253,—,1,-7,-2,-5,0.22593298114044502,0.28095035084111025
CKM |V_cb|,mixing,0.041,—,1,-15,-3,-10,0.04111529062484025,0.2811966459518196
Fine-Structure Constant (α),nuclear,0.0072973525693,—,1,-13,-7,-11,0.007275471146318687,-0.2998542659617261
Lamb Shift (2S₁/₂ - 2P₁/₂),atomic,4.37462e-06,eV,1,-31,-13,-26,4.360592979613943e-06,-0.3206454591726099
Neutron Magnetic Moment (μ_n),nuclear,-9.6623651e-27,J/T,-1,-130,-54,-125,9.629557361278544e-27,-0.33954149301868636
Tau-to-Electron Mass Ratio,particle,3477.23,—,1,10,7,12,3465.2819915380205,-0.3436070798301953
Pion Mass (m_K±),particle,493.677,MeV/c²,1,11,4,11,495.41914103148383,0.35289086416499277
Tau Mass (m_τ),particle,1776.86,MeV/c²,1,15,4,12,1783.4067185514239,0.3684431272820574
Cabibbo Angle cos θ_c,mixing,0.97446,—,1,-7,-1,-1,0.9707857286823185,-0.3770571719394843
Cabibbo Angle sin θ_c,mixing,0.225,—,1,-7,-2,-5,0.22593298114044502,0.41465828464222937
Neutrino Mass Sum (Σm_ν),cosmology,0.12,eV,1,-11,-2,-9,0.11950179987940411,-0.41516676716323725
Down Quark Mass (m_d),particle,4.67,MeV/c²,1,-2,-3,3,4.650285523183094,-0.4221515378352361
Z Boson Mass (M_Z),particle,91187.6,MeV/c²,1,21,7,23,91575.29328423894,0.42516009220435236
Reduced Planck Constant (ℏ),planck,1.054571817e-34,J·s,1,-170,-69,-164,1.0591427378032068e-34,0.4334385510329599
Pion Mass (m_K⁰),particle,497.611,MeV/c²,1,9,4,12,495.4191410314839,-0.4404763898941344
Top-to-Bottom Quark Mass Ratio,particle,41.312,—,1,5,0,7,41.12461179749812,-0.45359266678417587
Down-to-Up Quark Mass Ratio,particle,2.162,—,1,-3,-1,1,2.1724118524334752,0.48158429387027346
CKM |V_ts|,mixing,0.04133,—,1,-15,-3,-10,0.04111529062484025,-0.5195000608752744
W-to-Z Boson Mass Ratio,particle,0.88153,—,1,-3,-3,-1,0.886353500682884,0.5471737414363609
Impedance of Free Space (Z_0),EM,376.73031367,Ω,1,8,2,12,378.8452125448222,0.5613827181092603
Up Quark Mass (m_u),particle,2.16,MeV/c²,1,-3,-1,1,2.1724118524334752,0.574622797846069
Strange Quark Mass (m_s),particle,93.4,MeV/c²,1,6,-20,9,93.95742752760964,0.5968174813807633
Scalar Spectral Index (n_s),cosmology,0.965,—,1,-7,-1,-1,0.9707857286823185,0.5995573764060648
Dark Matter Density (Ω_cdm),cosmology,0.266,—,1,-8,-4,-3,0.2676201960066822,0.6090962431135988
Positronium Ground State Energy,atomic,6.8028519,eV,1,0,1,2,6.759626642339688,-0.6353990693272664
Bohr Magneton (μ_B),atomic,9.2740100783e-24,J/T,1,-114,-48,-111,9.212043261334205e-24,-0.6681771579134905
Lunar Mass (M_☽),astro,7.342e+22,kg,1,104,44,109,7.31286801719717e+22,-0.3967853827680421
Hubble Constant (H_0),cosmology,67.4,km/s/Mpc,1,4,3,7,66.89482050029814,-0.7495244802698331
Rydberg Energy (Ry),nuclear,13.605693123,eV,1,1,0,5,13.708203932499371,0.7534405529555849
Gas Constant (R),thermo,8.314462618,J/mol/K,1,0,1,3,8.377660631089583,0.7600973868445218
Planck Length (l_P),planck,1.616255e-35,m,1,-176,-70,-176,1.616154626425699e-35,-0.006210256073527098
Planck Time (t_P),planck,5.391246999999999e-44,s,1,-214,-88,-208,5.363582023014926e-44,-0.5131461605278614
Electron Magnetic Moment (μ_e),derived,-9.2847647043e-24,J/T,-1,-114,-48,-111,9.212043261334205e-24,-0.7832340967360935
Hydrogen Ionization Energy,atomic,13.598434005,eV,1,1,0,5,13.708203932499371,0.8072247691095188
Magnetic Flux Quantum (Φ_0),EM,2.067833848e-15,Wb,1,-75,-31,-71,2.0510761098097517e-15,-0.8104006134949616
Charm-to-Strange Quark Mass Ratio,particle,13.598,—,1,1,0,5,13.708203932499371,0.8104422157623947
ℏc in MeV·fm,derived,197.3269804,MeV·fm,1,9,-20,10,199.00502499885474,0.8503878159252165
Compton Wavelength (λ_C),nuclear,2.4263102389e-12,m,1,-63,-25,-56,2.4209308659386887e-12,-0.22171002187049965
Baryon Density (Ω_b),cosmology,0.0493,—,1,-11,-4,-7,0.04973283474395884,0.8779609410929938
Matter Density (Ω_m),cosmology,0.3153,—,1,-40,-1,-40,0.3183098949240513,0.9546130428326333
MOUND Universal Acceleration (g_u),mound,3.4365e-10,m/s²,1,-48,-23,-46,3.402401457984884e-10,-0.9922462393457333
Higgs Boson Mass (m_h),particle,125250.0,MeV/c²,1,18,10,21,123902.04734386908,-1.0762097054937465
Solar Mass (M_☉),astro,1.9884700000000003e+30,kg,1,138,60,144,1.9860281776742203e+30,-0.12279905282855579
Weak Mixing Angle sin²θ_W (on-shell),electroweak,0.22343,—,1,-7,-2,-5,0.22593298114044502,1.1202529384796276
Weak Mixing Angle sin²θ_W (MS),electroweak,0.23121,—,1,-6,-3,-4,0.23387765818435613,1.1537814905739936
Tensor-to-Scalar Ratio (r),cosmology,0.001,—,1,-18,-8,-15,0.0010115980992231374,1.1598099223137335
Electron Mass (m_e),particle,0.51099895,MeV/c²,1,-8,-2,-2,0.5045734311446511,-1.2574426728956705
sin² θ₂₃ (atmospheric),neutrino,0.546,—,1,-6,-2,-2,0.5390152848932841,-1.279251851046876
sin² θ₁₂ (solar),neutrino,0.307,—,1,-6,-2,-4,0.3029473073934944,-1.3200953115653395
Wien Displacement Constant (b),thermo,0.002897771955,m·K,1,-15,-6,-14,0.002959540198795483,2.131577113544229
Hartree Energy (E_h),nuclear,27.211386246,eV,1,4,2,5,27.81387631108852,2.214110150955963
Schwarzschild Radius of Sun,astro,2953.25,m,1,-40,7,-40,3020.2932277855316,2.270150775773524
Proton Charge Radius (r_p),nuclear,8.414e-16,m,1,-76,-31,-74,8.611737013325258e-16,2.3500952379992563
Curvature Density (Ω_k),cosmology,0.0007,—,1,-19,-7,-17,0.0007180905726104928,2.5843675157846824
Parsec (pc),astro,3.085677581e+16,m,1,71,33,75,3.0875394883469572e+16,0.06034030769844065
Solar Radius (R_☉),astro,695700000.0,m,1,38,14,42,695600552.1817553,-0.01429464111609827
Planck Temperature (T_P),planck,1.416784e+32,K,1,149,64,152,1.3784193600428367e+32,-2.7078679570889648
Solar Luminosity (L_☉),astro,3.8279999999999994e+26,W,1,120,51,127,3.824901979563308e+26,-0.0809305234245379
Avogadro Constant (N_A),thermo,6.02214076e+23,mol⁻¹,1,111,45,113,5.9383313464350494e+23,-1.3916880542153005
Josephson Constant (K_J),EM,483597848400000.0,Hz/V,1,66,29,68,486152364348726.06,0.5282314545397101
Proton Lifetime Lower Limit,nuclear,1.67e+34,yr,1,161,66,163,1.6698756598466476e+34,-0.007445518164822498
Light Year (ly),astro,9460730472600000.0,m,1,73,27,76,9469336176789856.0,0.0909623650602846
Planck Energy (E_P),planck,1.22089e+19,GeV,1,87,35,91,1.2191795620218155e+19,-0.14009763190660085
Planck Mass (m_P),planck,1.22089e+19,GeV/c²,1,87,35,91,1.2191795620218155e+19,-0.14009763190660085
Planck Charge (q_P),planck,1.875546e-18,C,1,-88,-37,-86,1.873961523888639e-18,-0.08448079179935623
Loschmidt Constant (n_0),thermo,2.6867801e+25,m⁻³,1,119,46,121,2.6865738777325708e+25,-0.007675442714094666
Earth Mass (M_⊕),astro,5.9722e+24,kg,1,118,48,114,5.974083200791105e+24,0.031532781740484225
Astronomical Unit (AU),astro,149597870700.0,m,1,49,22,51,149487349316.98138,-0.07387898136615371
Elementary Charge (e),EM,1.6021766340000001e-19,C,1,-101,-41,-90,1.6019776855168817e-19,-0.012417387627340728
Electron Volt (eV in J),EM,1.6021766340000001e-19,J,1,-101,-41,-90,1.6019776855168817e-19,-0.012417387627340728
